Activity Master: Activity Master Number	Activity Master: ID	Zone	Activity Code	Activity Name	Activity Name (Arabic)	Status	Minimum Share Capital	License Type	License Type (Arabic)	Is Not Allowed for Coworking(ESR)	RAKEZ HSE Risk Classification	Compliance Risk Rating -RR	Is Special	Activity Price	Activity Group	Activity Group (Arabic)	GICS Business Sector	GICS Subsector	Segment Name English	Segment Name Arabic	Description	Description (Arabic)	Qualification Requirement	Documents Required
AM-04874	a0v580000018Mbe	Freezone	291102	Engines Spare Parts Manufacturing	صناعة قطع غيار المحركات	Active	150,000	Industrial	صناعية	-	Low		Standard		Equipment and engines manufacturing	صناعة المعدات والمحركات	Industrials	Electrical Equipment			Includes manufacturing major spare parts such as cam shafts, pistons, inletvalves, connecting rods, and other parts used in different engines, machines or industrial, marine or construction equipment.	يشمل صناعة قطع الغيار الرئيسة كأعمدة الإدارة ومحامل أعمدة الإدارة في المحركات، وأذرعة الإدارة وغيرها من القطع المستخدمة في المحركات بأنواعها كمحركات الآلات والمعدات الصناعية، أو السفن والقوارب أو المعدات البحرية أو الإنشائية.		Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority
AM-09075	a0v4K0000026UUP	Freezone	1811012	Engraving Printing	الطباعة بالحفر	Inactive		Industrial	صناعية	-			Standard		Publishing and printing services	خدمات النشر والطباعة	Industrials	Commercial Services & Supplies						Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority
AM-06579	a0v58000002w78m	Freezone	64990-06	Entertainment Enterprises Investment, Institution and Management	الاستثمار في المشروعات الترفيهية و تأسيسها و ادارتها	Active		Commercial	تجارية	ESR	Low		Standard		Investment	الإستثمار	Financials	Investment Companies			Includes holding companies formed in order to invest their funds through establishing subsidiaries to carry out  investment in Entertainment, it involves exercising operational control and managing the operations of their related units.	يشمل المؤسسات والشركات القابضة المهيمنة التي تؤسس بغرض استثمار أموالها أو توفير الاستثمارات المالية اللازمة لتأسيس المشروعات التابعة، والتي تزاول  الإستثمارات المختلفة في المشروعات الترفيهية ، كما يشمل ذلك إدارة تلك المؤسسات التابعة وتنظيم أمورها.		Business Plan to be Reviewed and Approved by Sales Director Proof of Funds proving that the investable / liquid assets exceeds 500k US Dollars (Can be either a bank confirmation letter, or an auditor or lawyer confirmation letter, and the letter should be current dated within last 60 days.'Mandatory RAKEZ Visa within 6 months of the License Issuance". Activity Not Allowed for Flexi Units.
AM-09128	a0v4K000000GYmu	Freezone	9000102	Entertainment Parties and Occasions	تعهدات الحفلات والمناسبات	Inactive		Media	اعلام	-			Standard		Parties organization	تنظيم الحفلات والمناسبات	Communication Services	Media						
AM-08988	a0v4K000001d9vd	Freezone	7210202	Environmental Consultancy and Studies and Researches	الاستشارات والدراسات والبحوث البيئية	Active		Educational	تعليمية  	-			Standard		Research and Development	البحث والتطوير	Education	Research and Development			Includes firms that engaged in environmental consultancy, studies and researches. This activity aims to monitor the trends, methods, tools and emerging findings that can be used to enhance the research process. This research will contribute to the greater benefit of society.	يشمل المنشآت التي تقوم بالاستشارات والدراسات والبحوث البيئية . يهدف هذا النشاط إلى مراقبة الاتجاهات والأساليب والأدوات والنتائج الناشئة التي يمكن استخدامها لتعزيز عملية البحث. وسيساهم هذا البحث في تحقيق فائدة أكبر للمجتمع.	Certified_Academic_Degree	Academic Zone
AM-04876	a0v580000018Mbg	Freezone	731002	Environmental Consultants & Studies	الاستشارات والدراسات البيئية	Active		Services	خدمية	-	Low		Standard		Consultancy -D- management, information and marketing	الاستشارات - الادارة والمعلومات	Industrials	Professional Services			Includes firms conduct technical studies and research on the polluters affecting the environment elements, mainly air, water and soil and how to handle the subsequent impacts as well as determining the techniques and practical preventive measures, such firms are not allowed to conduct field surveys and questionnaire before getting approval from the competent authority.	يشمل المنشآت التي تقوم بإعداد الدراسات والبحوث والإستشارات الفنية المتعلقة بالبيئة وتشمل الهواء والمياه بأنواعها والتربة ومدى تأثرها بعوامل التلوث المختلفة والمشاكل الناجمة عنها وتحديد التقنيات والأساليب اللازمة لحمايتها ومعالجة آثارها، لا يسمح لهذه المنشآت إجراء المسوحات الميدانية إلا بعد موافقة الجهات المختصة.		
AM-05164	a0v580000018MgK	Freezone	742116	Environmental Engineering Consultancy	الهندسة البيئية	Active		Services	خدمية	-	Low		Standard		Other engineering services	خدمات هندسية اخرى	Industrials	Construction & Engineering			Includes providing services and consultancies related to improving the natural environment (air, water, and land resources), remediate pollution sites, finding plausible solutions in the field of public health, promote adequate sanitation in urban, rural and areas, waste water management and disposal, air pollution control, recycling, radiation protection, environmental sustainability.	يشمل المنشآت التي تقدم الإستشارات والخدمات الهندسية والعلمية الهادفة لتحسين البيئة الطبيعية ( الهواء، الماء، التربة) بما في ذلك معالجة مواقع التلوث، إيجاد الحلول المقبولة في مجال الصحة العامة، ترقية النظافة في المناطق الحضرية والريفية، التخلص من مياه الصرف الصحي، التحكم في تلوث الهواء، إعادة التدوير، الوقاية من الإشعاعات، الإستدامة البيئية.	Certified_Academic_Degree	
AM-04129	a0v580000018MPd	Freezone	515935	Environment Protection Equipment Trading	تجارة معدات حماية البيئة	Active		Commercial	تجارية	-	Low		Standard		Mechanical & engineering equipment trading	تجارة المعدات الميكانيكية والهندسية	Industrials	Trading Companies & Distributors			Includes reselling environment protection and pollution control machinery and equipment, including sewage disposal treatment and waste recycling equipment.	هي إعادة بيع الآلات والمعدات التجهيزات والأجهزة الخاصة بحماية البيئة من الملوثات أو العوامل المؤثرة عليها سلبياً، ويشمل ذلك معدات معالجة مياه الصرف الصحي وإعادة تدوير النفاياتو غيرها.		
AM-01802	a0v580000018Lo6	Freezone	8541004	Equestrian education, horse riding	تعليم الفروسية وركوب الخيل	Active		Services	خدمية	-	Low				Sport Club	النوادي الرياضية	Consumer Services	Sports & Recreation	Sports training institutes	معاهد التدريب الرياضي	Equestrian education, horse riding	تعليم الفروسية وركوب الخيل		General Authority of Sports, Ministry of Climate Change and Environment
AM-09125	a0v4K000000GYmf	Freezone	4659938	Equipment and Apparatuses Trading of E-games and Entertainment Halls	تجارة معدات وأجهزة صالات التسلية والألعاب الإلكترونية - بالجملة	Active		Commercial	تجارية	-	Low		Standard		Entertainment equipment and supplies trading	تجارة معدات وتجهيزات التسلية	Consumer Discretionary	Consumer Discretionary Distribution & Retail						
AM-04130	a0v580000018MPe	Freezone	525106	Equipment E-Trading	المتاجرة الإلكترونية بالمعدات والاجهزة	Active		E-Commerce	تجارة إلكترونية	-	Low		Standard		E-Commerce	تجارة إلكترونية	Industrials	Trading Companies & Distributors			Includes firms specialized in conducting selling equipment and machinery to the general public or to other businesses over the internet without needing any human interaction using any of the applications that rely on the internet, it involves coordinating with payment service providers which offer online electronic payments by a variety of payment methods including credit card, smart cards, digital money E-cash.	يشمل المنشآت المتخصصة في ممارسة تجارة المعدات والاجهزة للمستهلكين العاديين أو للشركات الأخرى وذلك بإستخدام العديد من التطبيقات التي تعتمد على الإنترنت ودون الحاجة لتدخل العنصر البشري في العملية ، ويشمل ذلك التنسيق مع المصارف والمؤسسات المالية لتطبيق آليات للدفع الإلكتروني للاستغناء عن العملات الورقية في عمليات الدفع والتي قد تكون عن طريق بطاقات الائتمان، البطاقات الذكية، النقود الرقمية أو النقد الإلكتروني.		
AM-06798	a0v5800000dp8Dj	Freezone	100046	Equipment Providers	موفر معدات	Active		Media	اعلام	-	Low		Standard		Broadcast Support Services	خدمات دعم البث	Communication Services	Media			Equipment Providers	موفر معدات		Media Brief Form
AM-06799	a0v5800000dp8Dk	Freezone	100024	Equipment Rental	تأجير المعدات	Active		Media	اعلام	-	Low		Standard		Event Management Services	خدمات إدارة الفعاليات	Communication Services	Media			Equipment Rental	تأجير المعدات		Media Brief Form
AM-06800	a0v5800000dp8Dl	Freezone	100006	E‐Services	الخدمات الإلكترونية	Active		Media	اعلام	-			Standard		Media & Marketing Services	الخدمات التسويقية والإعلامية	Communication Services	Media			E‐Services	الخدمات الإلكترونية		Media Brief Form
AM-08955	a0v4K000001Xyn6	Freezone	100099	E-sports Data & Analytics	إجراء البيانات والتحليلات الخاصة بالرياضات الإلكترونية	Active		Media	اعلام	-			Standard		E-sports	الرياضات الإلكترونية	Communication Services	Media			An entity providing real-time statistics for E-sports, which collects, analyses and distills data (including channels, games, publishers, tournaments, teams, reports, brand impact, chat analytics) from E-sports competitions and/or Gaming Streaming Social Media Platforms using game API, streaming intelligence and artificial intelligence software.			
AM-08956	a0v4K000001Xyna	Freezone	100100	E-sports League Operator	مشغّل دوري الرياضات الإلكترونية	Active		Media	اعلام	-			Standard		E-sports	الرياضات الإلكترونية	Communication Services	Media			An entity that owns/operates or runs a recognized E-sports League.			
AM-08957	a0v4K000001Xynk	Freezone	100101	E-sports Online Publication	توفير الرياضات الإلكترونية على شبكة الإنترنت	Active		Media	اعلام	-			Standard		E-sports	الرياضات الإلكترونية	Communication Services	Media			Online publishing of a newspaper, periodical, journal, magazine and other online publishing activities specific to the E-sports and gaming genre.			Media Regulatory Office / Ministry of Culture & Youth
AM-08958	a0v4K000001Xynz	Freezone	100102	E-sports Organization	مؤسسات الرياضات الإلكترونية	Active		Media	اعلام	-			Standard		E-sports	الرياضات الإلكترونية	Communication Services	Media			An entity, which owns and/or manages a professional E-Sports team or players			
AM-08959	a0v4K000001XyoJ	Freezone	100103	E-sports Tournament platform	منصة لإقامة بطولات الرياضات الإلكترونية	Active		Media	اعلام	-			Standard		E-sports	الرياضات الإلكترونية	Communication Services	Media			Online platform, which facilitates and supports organizers of E-sports tournaments and offers turn-key solutions for testing, scaling, and operating E-sports competitions			
AM-06983	a0v5800000e2Wg9	Freezone	RAKEZ702008	Establishment of Home Owners’ Associations	تأسيس جمعيات الملاك	Active		Services	خدمية	-	Low		Standard		Real Estate	العقارات	Real Estate	Real Estate Management & Development						
AM-08811	a0v4K0000001qvE	Freezone	8090-22-1	E-Training Institute	معهد تدريب إفتراضي	Active		Educational	تعليمية  	-	Low		Standard	10,000	Training Institute	معهد تدريب	Education	Training Institute			Includes providing training programs virtually without assembling the participants in one location, and with the help of electronic resources.	يتضمن التدريب الإفتراضي تقديم البرامج التدريبية بدون تجميع المشاركين في مكان واحد ، وبمساعدة المصادر الإلكترونية	Certified_Academic_Degree	Academic Zone,Certified Academic Degree (E-Training Institute This activity can be offered to New Registrations under the Virtual Education License (Package))
AM-08812	a0v4K0000001qvJ	Freezone	8090-62-1	E -Tutoring services	خدمات التدريس الإفتراضية	Active		Educational	تعليمية  	-	Low		Standard	10,000	Training Institute	معهد تدريب	Education	Training Institute			Work with students virtually to identify the educational needs in specific subjects which includes school and university levels. This would enable the students to enhance their learning and development.	تضمن هذا النشاط العمل مع الطلاب عن بعد لتحديد الاحتياجات التعليمية في مواد محددة والتي تشمل مستويات المدرسة والجامعة. والذي سوف يمكن الطلاب من تعزيز التعلم والتطوير.		Academic Zone Business plan and relevant qualifications.
AM-05166	a0v580000018MgM	Freezone	749946	Event Management Consultancy	إدارة الفعاليات	Inactive		Services	خدمية	-			Standard		Consultancy -D- management, information and marketing	الاستشارات - الادارة والمعلومات	Industrials	Professional Services			Includes firms engaged in managing festivals and events, which involves, studying intricacies of the event, identifying the target audience, devising the event concept, planning logistics, coordinating the technical aspects before executing the modalities of the event. The activity applies to a variety of areas, such as, corporate events, marketing programs, concerts, award ceremonies, fashion shows and wedding parties.	يشمل المنشآت المتخصصة في تقديم خدمات إدارة الفعاليات والمهرجانات بما في ذلك دراسة التعقيدات والصعوبات التي قد تكتنف الفعالية, تحديد الجمهور المستهدف, إقتراح المفاهيم والأفكار, تخطيط المتطلبات اللوجستية, تنسيق الجوانب الفنية المختلفة قبل الشروع في تنفيذ الشكل النهائي للفعالية. لايقتصر نشاط تلك المنشآت على المهرجانات والأحداث الضخمة وإنما يشمل أشكال أخرى مثل أنشطة الشركات, برامج التسويق, الحفلات وإحتفالات تقديم الجوائز, عروض الأزياء, حفلات الزواج وغيرها.		
AM-08960	a0v4K000001Xyod	Freezone	100104	Event management - E-sports	إدارة فعاليات الرياضات الإلكترونية	Active		Media	اعلام	-			Standard		E-sports	الرياضات الإلكترونية	Communication Services	Media			An entity providing services to produce, promote, organize, manage, support and facilitate E-sports events, competitions and/or tournaments including, but not limited to gaming conferences, exhibitions, activations, conventions, business and trade shows.			General Authority of Sports
AM-06813	a0v5800000dp8Dy	Freezone	100023	Event Production	إنتاج الفعاليات	Active		Media	اعلام	-	High		Standard		Event Management Services	خدمات إدارة الفعاليات	Communication Services	Media			Event Production	إنتاج الفعاليات		Media Brief Form
AM-06814	a0v5800000dp8Dz	Freezone	100022	Event Ticketing	تذاكر الفعاليات	Active		Media	اعلام	-	Low		Standard		Event Management Services	خدمات إدارة الفعاليات	Communication Services	Media			Event Ticketing	تذاكر الفعاليات		Media Brief Form
AM-03523	a0v580000018MFr	Freezone	809052	Examinations & Tests Preparation Center	مركز لتحضير الإختبارات والإمتحانات	Active		Educational	تعليمية  	-	Low		Standard	8,500	Educational Consulting Services	خدمات الإستشارات التعليمية	Education	Educational Consulting Services			It is a center that provides services to prepare individuals and organizations for tests or examinations on certification, aptitude, language proficiency, such as TOEFL, IELTS, ICDL, GRE, GMAT, SAT and Cambridge certifications through face to face or online training.	هو المركز الذي يقدم خدمات للأفراد لتحضير إختبارات المهارات والكفاءة اللغوية مثل إختبار التوفل، الآليتس، الرخصة الدولية لقيادة الحاسب الآلي، سات، جي آر إي، جي مات، شهادات كامبريدج وذلك بالتعاون والتنسيق مع هيئات ومؤسسات محلية أو دولية مختصة في هذا المجال ويتم التدريب إما مباشرة أو عن طريق الإنترنت .		Academic Zone
AM-09205	a0v8e000000kwWT	Freezone	5021002	Excursion Boats and Ships Renting	تأجير قوارب و سفن النزهة	Inactive		Commercial	تجارية	-			Standard		Tourist activities	الأنشطة السياحية 	Consumer Services	Hospitality						
AM-08742	a0v4H00000h9VY9	Freezone	78100022	Executive Search Services	خدمات الأبحاث التنفيذية	Active		Services	خدمية	-	Low		Standard		Executive Search	الأبحاث التنفيذية	Industrials	Professional Services			Pacing suitably qualified individuals in middle and senior levels (key positions). It is generally based on exclusive retainer fees (up-front fee basis), contractual basis, and it is consultative, research-based and solution oriented		Certified Academic Degree	1.standalone License. If any additional activities are required, Client should have additional license subject o to satisfying the relevant requirement 2. Special Activity Charges of AED 6,500 ( as you this charge is waived off under current Promos)  3. Company's manager should be UAE-resident OR should have visa  under RAKEZ within six (6) months from the date of registration if he he/she has no UAE visa. 4. Company's Manager should have the minimal qualifications required such bachelor degree in Business Administration or Economics or a related discipline and three years experience. 5. Undertaking not to conduct field surveys and questionnaire prior getting approval from the competent authority, nor practice any business outside RAKEZ Free Zone jurisdiction.
AM-05167	a0v580000018MgN	Freezone	343002	Exhausts Manufacturing	صناعة عوادم السيارات والمركبات	Active	150,000	Industrial	صناعية	-	Low		Standard		Manufacture of motor vehicles, motorcycles & its spare parts	صناعه السيارات و قطع غيارها والمركبات و الدراجات	Consumer Discretionary	Automotive & Parts			Includes manufacturing exhausts used to convey burnt gases from the engine.	يشملصناعةعوادمالسياراتوالمركبات التي تعمل على إخراج الغازات من داخل المحركات.		Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority
AM-06815	a0v5800000dp8E0	Freezone	100017	Exhibition Organization and Management	تنظيم وإدارة المعارض	Active		Media	اعلام	-	Low		Standard		Event Management Services	خدمات إدارة الفعاليات	Communication Services	Media			Exhibition Organization and Management	تنظيم وإدارة المعارض               		Media Brief Form
AM-05168	a0v580000018MgO	Freezone	289928	Exhibition Stands Manufacturing	صناعة تركيبات المعارض	Active	150,000	Industrial	صناعية	-	Low		Standard		Manufacturing of wood, wood products and Furniture	صناعة الاخشاب ومنتجاتها والاثاث	Industrials	Machinery & Equipment			Includes firms engaged in manufacturing exhibitions fixtures including walls, ceilings, podiums and requisites.	يشمل المنشآت التي تعمل في مجال صناعة التركيبات من حوائط وأسقف ومنصات وتجهيزات للمعارض.		Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority
AM-05169	a0v580000018MgP	Freezone	281109	Expanded Metal Components Manufacturing	صناعة اللوازم المعدنية لتدعيم البناء	Active	150,000	Industrial	صناعية	-	Low		Standard		Structural steel manufacturing	صناعه الانشاءات المعدنيه	Industrials	Building Products			Includes the process of metal spreading, boring or converting metal plates into gabions nets to produce metal products like reinforcing angles, sections, bricks lining up studs and other requisites used in the constructions for supporting and reinforcing different building elements and prevent cracking.	يشمل عمليات تمديد المعادن أو تثقيبها أو تحويل الصفائح الى شباك لإنتاج اللوازم المعدنية مثل زوايا الحماية والشرائط (الشرائح) الشبكية ودعامات صف الطوب وغيرها من اللوازم التي تستخدم أثناء عمليات تشييد الأبنية وتكسيتها لأغراض تدعيم وتماسك عناصر البناء ومنع التشققات والشروخ.		Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority
AM-08989	a0v4K000001d9vi	Freezone	990004	Exploration services (research and exploration) for groundwater	خدمات الأستكشاف ( البحث والتنقيب ) عن المياة الجوفية	Active		Educational	تعليمية  	-			Standard		Research and Development	البحث والتطوير	Materials	Mining			Includes firms that engaged in exploration services (research and exploration) for groundwater. This activity aims to monitor the trends, methods, tools and emerging findings that can be used to enhance the research process. This research will contribute to the greater benefit of society.	يشمل المنشآت التي تقوم بخدمات الأستكشاف ( البحث والتنقيب ) عن المياة الجوفية . يهدف هذا النشاط إلى مراقبة الاتجاهات والأساليب والأدوات والنتائج الناشئة التي يمكن استخدامها لتعزيز عملية البحث. وسيساهم هذا البحث في تحقيق فائدة أكبر للمجتمع.	Certified_Academic_Degree	Academic Zone
AM-09047	a0v4K0000026ItW	Freezone	4610009	Exporting	تصدير	Active		Commercial	تجارية	-	Low		Standard		Exporting	تصدير	Industrials	Trading Companies & Distributors			This activity is added to the factories which export its licensed products.	هذا النشاط يتم إضافته للمصانع التي تقوم بتصدير منتجاتها المرخصة.		For Warehouse & Land: Department of Civil Defense, CCTV Certificate from General Resources Authority
AM-09218	a0v8e000000kwVD	Freezone	712902	Extracting & Drilling Equipment & Machinery Rental	تأجير آلات ومعدات استخراج الثروة الطبيعية	Active		Commercial	تجارية	-	Low		Standard		Machinery and equipement rental	تأجير الالات و المعدات	ENERGY	Energy Equipment & Services			Includes renting and leasing equipment for the extraction of minerals occurring naturally, involving extraction of crude petroleum and natural gas as well as the mining and quarrying.	يشمل تأجير آلات ومعدات التي تعمل على إستخراج الثروات الطبيعية من باطن الأرض بما في ذلك البترول والغاز الطبيعي ومعدات التعدين وإستخراج المعادن واستغلال المحاجر.		
AM-05239	a0v580000018MhX	Freezone	222110	Fabrics, Textiles & Readymade Garments Screen Printing	طباعة المنسوجات والملابس الجاهزة	Active	150,000	Industrial	صناعية	-	Medium		Standard		Printing and publishing services	خدمات النشر والطباعة	Consumer Discretionary	Textiles, Apparel & Luxury Goods			Includes silk-screen printing on textiles and wearing apparel by transferring a multicolored image or design image from a screen to textile articles through lithographic, gravure, screen or flexographic printing.	يشمل النقش والرسم على الأقمشة بالمواد المثخنةالملونة وبإستخدام تقنياتطباعة الروتاري المعتمدة على الأسطوانات أو الطباعة اليدوية بالشابلونة الحريرية أو الطباعة بالمعدات الحديثة بواسطة ماكينات الطباعة الدائرية.		Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority
AM-05170	a0v580000018MgQ	Freezone	172106	Fabrics & Textiles Embroidering	صناعة المطرزات	Active	150,000	Industrial	صناعية	-	Medium		Standard		Textiles & products manufacturing	صناعة النسيج ومنتجاتها	Consumer Discretionary	Textiles, Apparel & Luxury Goods			Includes knitting and crocheting cotton, silk and wool fabrics with colored or golden stripes to use in producing household linens and women dress.	يشمل توشية المنسوجات القطنية والحريرية والصوفية وزخرفتها بالخيوط القطنية والحريرية والصوفية وكذلك الخرز والبراق والزجاج والأحجار الكريمة وذلك لإنتاج المفروشات المطرزة من أطقم ومفارش الأسرة والمناشف ولوازم الحمام وكذلك الشيل والفساتين النسائية وغيرها.		Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority
AM-08772	a0v4K00000008wq	Freezone	4771114	Face Masks & Gloves Trading	تجارة الاقنعة والقفازات	Active		Commercial	تجارية	-	Medium		Standard		Other Trading Activities	أنشطة تجارية أخرى	Healthcare	Healthcare Providers & Services			includes reselling face masks and respirators intended for protection against particles and viruses, and prevent the transmission of viruses and microbes from infected person to a healthy one, or infections to be transmitted via contaminated hand contact with the mouth, it includes also the gloves used by health care professional s to prevent the transmission of viruses and bacteria.	يشمل إعادة بيع الكمامات الطبية العادية وأقنعة الوجه القائمة على التنفس الاصطناعي للحماية من أغلب أنواع الجزئيات والفيروسات، وذاك عبر منع انتقال الفيروسات والميكروبات من المريض الى الفرد السليم عبر الفم أو الأنف، كما تضمن كمامة الوجه عدم انتقال العدوى من اليد الى الفم عند لمسها عن طريق اليد، كما يشمل القفازات التي تسنخدم قبل الجراحين والفرق الطبية في المستشفيات الحد من انتشار وانتقال الامراض والجراثيم والبكتيريا		For Warehouse & Land: Department of Civil Defense, CCTV_Certificate_GENERAL_RESOURCES_AUTHORITY, RAK Municipality- Public Health Department
AM-09104	a0v4K0000027wkU	Freezone	8211010	Facilities Management Services	خدمات ادارة المنشأت	Inactive		Services	خدمية	-	Low		Standard		Management of facilities	إدارة المنشآت والمرافق	Industrials	Commercial Services & Supplies	Management of facilities	إدارة المنشآت والمرافق			Certified_Academic_Degree	
AM-05240	a0v580000018MhY	Freezone	741413	Facilities Resources Planning Consultancy	إستشارات تخطيط موارد المنشآت	Active		Services	خدمية	-	Low		Standard		Consultancy -D- management, information and marketing	الاستشارات - الادارة والمعلومات	Industrials	Professional Services			Includes firms engaged in conducting studies and consultancies as regarding various alternatives available to a firm in ordre to achieve the optimum utilization of resources, thus the firm is enabled to minimize utilization of inputs and energy, as well as impact on environment.	يشمل تقديم الإستشارات و إعداد الدراسات حول البدائل المتاحة للمنشأة  حتى تتمكن من تحقيق الإستغلال الأمثل لمواردها, ويشمل ذلك تطبيق آخر ماتوصل إليه العلم من تقنيات في مجالات تقليل التكاليف, الطاقة, الأجهزة, المواد والمحافظة على نظافة البيئة.		
AM-09383	a0vTm000002Jzmb	Freezone	4330018	False Ceiling And Light Partitions Installation	تركيب الأسقف المعلقة و القواطع الخفيفة	Active		Services	خدمية	-			Standard		Building contracting - not specified	مقاولات البناء - غير محددة					Includes specialized enterprises in the installation of Bishop borrowed, walls and wooden or metal that is used to divide the space in the offices and other This section does not include the coverage of the floors, walls and tiled floors and ceramics.	يشمل المنشأت المتخصصة فى تركيب الأسقف المستعارة والحوائط الخشبية أو المعدنية التي تستخدم بغرض تقسيم المساحات في المكاتب وغيرها ولايشمل هذا الفرع تغطية الأرضيات والجدران بالبلاط والسيراميك.		
AM-05241	a0v580000018MhZ	Freezone	269907	False Ceilings Manufacturing	صناعة الاسقف المعلقة غير المعدنية	Active	150,000	Industrial	صناعية	-	Low		Standard		Block and building stones industry	صناعة الطوب واحجار البناء	Industrials	Building Products			Includes manufacturing false ceilings made of non-metallic materials such as gypsum, fiberglass, or plastic reinforced with cement……etc.	يشمل صناعة الأسقف المعلقة المستعارة والمصنوعة من المواد غير المعدنية كالجبس أو الألياف الزجاجية المقواة أو البلاستيك المقوى بالاسمنت أو المصنوعة من غير ذلك من المواد المماثلة.		Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority
AM-04133	a0v580000018MPh	Freezone	514311	False Ceilings Trading	تجارة الاسقف المعلقة	Active		Commercial	تجارية	-	Low		Standard		Building materials trading	تجارة مواد البناء	Industrials	Trading Companies & Distributors			Includes reselling of false ceilings made of aluminum, gypsum, plastic, wood others.	هي إعادة بيع الأسقف المعلقة المستعارة سواء أكانت مصنوعة من الألمنيوم أو الجبس أو البلاستيك أو الخشب أو غير ذلك.		
AM-06473	a0v580000018b5V	Freezone	RAKEZ /2017/67	Fashion and Clothes Designing	تصميم الازياء والملابس	Active		Individual / Professional	فردية / مهنية	-	Low		Standard		Specialized design activities	أنشطة التصميم المتخصصة	Industrials	Professional Services						
AM-05243	a0v580000018Mhb	Freezone	749914	Fashion Designing	تصميم الازياء والملابس	Active		Services	خدمية	-	Low		Standard		Gents tailoring and design	الخياطه الرجاليه و التصميم	Industrials	Professional Services			Includes shops which design fashions and clothes for men, women and children, including uniform suits for the official bodies' personnel.	يشمل المحال التي تقوم بتصميم الأزياء والملابس الرجالية والنسائية وللأطفال بأنواعها في ذلك الأزياء الرسمية أو الملابس الموحدة للجهات الرسمية أو للهيئات والمؤسسات التي تحتاج إلى تخصيص ملابس موحدة لبعض فئات العاملين لديها.		
AM-05244	a0v580000018Mhc	Freezone	741402	Feasibility Studies Consultancies	استشارات ودراسات الجدوى الاقتصادية	Active		Services	خدمية	-	Low		Standard		Consultancy -D- management, information and marketing	الاستشارات - الادارة والمعلومات	Industrials	Professional Services			Includes firms which prepare technical and economic feasibility studies on the new projects to determine the profitability of these projects over a period of operation, such firms are not allowed to conduct field surveys and questionnaire before getting approval from the competent authority.	يشمل المنشآت التي تعمل في إعداد الدراسات الفنية والإقتصادية للمشروعات الجديدة للوقوف على مدى ربحية تلك المشروعات أو مدى جدواها الإقتصادية على مدى زمني معين من التشغيل كدراسات الجدوى الفنية والإقتصادية وغيرها، لا يسمح لهذه المنشآت إجراء المسوحات الميدانية إلا بعد موافقة الجهات المختصة.		
AM-04361	a0v580000018MTN	Freezone	514327	Fencing & Barbed Wire Trading	تجارة السياج والاسلاك الشائكة	Active		Commercial	تجارية	-	Low		Standard		Metals & its products trading	تجارت المعادن ومنتجاتها	Industrials	Trading Companies & Distributors			Includes reselling fence and barbed wire to prevent crossing industrial and agricultural installations, airports, military facilities.	يشمل إعادة بيع السياج والأسلاك الشائكة والتي تستخدم لحماية المنشآت الصناعية والزراعية والمطارات والمناطق العسكرية وغيرها.		
AM-06816	a0v5800000dp8E1	Freezone	100018	Festival Organization and Management	تنظيم وإدارة المهرجانات	Active		Media	اعلام	-	Low		Standard		Event Management Services	خدمات إدارة الفعاليات	Communication Services	Media			Festival Organization and Management	تنظيم وإدارة المهرجانات		Media Brief Form
AM-05278	a0v580000018MiA	Freezone	313004	Fiber Optics Cables, Wires & Requisites Manufacturing	صناعة الكابلات والاسلاك من الألياف البصرية	Active	150,000	Industrial	صناعية	-	Low		Standard		Pipes and wires manufacturing	صناعه الانابيب و الاسلاك	Information Technology	Technology Hardware & Equipment			Includes manufacturing the cables and wires using optical fiber as a medium which permits transmission over longer distances, it involves single-mode fiber used in telecommunication and TV cables, and the multi-mode fiber for computer networking.	يشمل صناعة الكابلات والاسلاك التي تستخدم الألياف البصرية في نقل الإشارات الضوئية لمسافات بعيدة، ويشمل الألياف التي تنتقل من خلالها إشارات ضوئية ذات نمط موحد و تستخدم في شبكات الهاتف وكابلات التلفزيون، وكذلك الأنواع التي تنتقل من خلالها إشارات ضوئية ذات أنماط متعددة و تستخدم في شبكات الحاسوب.		Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority
