Activity Master: Activity Master Number,Activity Master: ID,Zone,Activity Code,Activity Name,Activity Name (Arabic),Status,Minimum Share Capital,License Type,License Type (Arabic),Is Not Allowed for Coworking(ESR),RAKEZ HSE Risk Classification,Compliance Risk Rating -RR,Is Special,Activity Price,Activity Group,Activity Group (Arabic),GICS Business Sector,GICS Subsector,Segment Name English,Segment Name Arabic,Description,Description (Arabic),Qualification Requirement,Documents Required
AM-05002,a0v580000018Mdi,Freezone,281118,Fire Resistant Doors Manufacturing,صناعة الأبواب المقاومة للحريق,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Other metal indusries,صناعات معدنية اخرى,Industrials,Building Products,,,"Includes manufacturing fire rated metal, wooden or glass doors which are certified by the competent authorities after passing the test of high heat resistance and prevent flames and smoke spreading.","يشمل صناعة الأبواب المعدنية أو الخشبية أو الزجاجية أو المفصلات المعدنية الحاصلة على شهادة مقاومة الحريق من الجهات المختصة بعد إجتياز إختبارات مقاومة الحرارة العالية, والتي من خصائصها عدم القابلية للإحتراق, القدرة على وقف اللهب والحد من إنتشار الحريق.",,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-05776,a0v580000018MqC,Freezone,514335,Fire Resistant Doors Trading,تجارة الأبواب المقاومة للحريق,Active,,Commercial,تجارية,-,Low,,Standard,,Building materials trading,تجارة مواد البناء,Industrials,Trading Companies & Distributors,,,"Includes reselling fire rated metal, wooden or glass doors which are certified by the competent authorities after passing the test of high heat resistance and prevent flames and smoke spreading, also, fixing and installing by technicians approved by the General directorate of Civil Defense in order to ensure specifications compliance.","يشمل إعادة بيع الأبواب المعدنية أو الخشبية أو الزجاجية أو المفصلات المعدنية الحاصلة على شهادة مقاومة الحريق من الجهات المختصة بعد إجتياز إختبارات مقاومة الحرارة العالية, والتي من خصائصها عدم القابلية للإحتراق, القدرة على وقف اللهب والحد من إنتشار الحريق, كما يشمل التركيب من قبل فنيين معتمدين من الإدارة العامة للدفاع المدني للتأكد من مدى مطابقتها للمواصفات المعتمدة.",,"For Warehouse & Land: Department of Civil Defense, CCTV_Certificate_GENERAL_RESOURCES_AUTHORITY"
AM-01669,a0v580000018Llx,Non-Freezone,4330004,Fire Resistant Painting Works,أعمال الطلاء المقاومة للحرائق,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,Industrials,Construction & Engineering,,,,,,
AM-09310,a0vTm000000oCsP,Non-Freezone,4330023,Fire Retardant Lining Materials Installation,تركيب المواد المبطنة والمانعة لإنتشار الحريق,Active,,Professional,مهنية,-,Medium,,Standard,,safety and security equipment,معدات الأمن والسلامة,Industrials,Construction & Engineering,,,Includes firms engaged in installing non-combustible lining materials made of different materials by extruding between interior walls and ceilings to make high heat resistant and prevent flames spreading.,يشمل المنشآت التي تقوم بتركيب المواد المبطنة غير القابلة للإحتراق المصنوعة من مختلف أنواع المواد وذلك عبر حشوها بالحوائط و القواطع الداخلية والأسقف لجعلها غير قابلة للإحتراق ولها القدرة على وقف اللهب والحد من إنتشار الحريق,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-05066,a0v580000018Mek,Freezone,742162,Fire Safety &Protection Engineering Consultancy,هندسة السلامة والوقاية من الحريق,Active,,Services,خدمية,-,Low,,Standard,,Consultancy -B- Engineering,الاستشارات - الهندسة والعمارة,Industrials,Construction & Engineering,,,"Includes providing services and consultancies related to the applying engineering principles to protect property, people from the destructive effects of fire by focusing on fire detection, suppression and mitigation as well as preparing protective strategy and emergency and evacuation plan",يشمل المنشآت التي تقدم الإستشارات والخدمات الهندسية حول تطبيق المبادئ الهندسية لحماية الممتلكات والناس من الآثار المدمرة للحريق والأدخنة وذلك بالتركيز مكافحة الحريق وإخمادة والتقليل من آثاره، إضافة إلى إعداد إستراتيجيات المكافحة والتخطيط للإخلاء عند نشوب الحريق,Certified_Academic_Degree,Department of Civil Defense
AM-05004,a0v580000018Mdk,Freezone,741428,Fire Safety Consultancy,إستشارات السلامة الوقائية من الحريق,Active,,Services,خدمية,-,Low,,Standard,,"Consultancy -D- management, information and marketing",الاستشارات - الادارة والمعلومات,Industrials,Construction & Engineering,,,"Includes firms engaged in providing consultancy in fire protection and safety, including, preparing protective strategy and emergency and evacuation plan, assessing fire risks and formulate action plan complying with regulations imposed by the concerned authorities in this respect, developing fire management policies and procedures, modifying premises designs to comply with the building regulations regarding fire safety, designing fire training programs.",يشمل المنشآت المتخصصة في تقديم الإستشارات والإرشادات في مجال السلامة الوقائية من الحريق بما في ذلك إعداد إستراتيجيات المكافحة والتخطيط للإخلاء عند نشوب الحريق، تقييم المخاطر ووضع خطط العمل التي تستجيب للقواعد والشروط التي تضعها الجهات المختصة لتلك الحالات، تطوير السياسات والإجراءات في مجال الحريق، إقتراح التعديلات على تصاميم المباني للتوافق مع مواصفات المباني الموضوعة من الجهات المختصة، تصميم برامج التدريب في المجال المذكور.,,Department of Civil Defense
AM-01804,a0v580000018Lo8,Freezone,5122-30,Fish & Marine Animals Trading,تجارة الأسماك والحيوانات البحرية,Active,,Commercial,تجارية,-,Low,,Standard,,Separate trading activities,انشطة تجارية منفصلة,Consumer Staples,Consumer Staples Distribution & Retail,,,"Includes reselling fresh fish and marine animals, whether whole or in pieces, no conversion or preserving processes are involved (frozen and preserved fish and seafood are classified under no 5122-07 and 5122-08).",هي إعادة بيع الأسماك والحيوانات البحرية بأنواعها الطازجة أو المبردة سواء بيعت بالكامل أو مقطعة شريطة أن لاتكون قد أجري عليها أية عمليات تحويلية أو معالجة لحفظها (صنفت الأسماك والأغذية البحرية المجمدة والمحفوظة تحت النشاطين أرقام 07 - 5122 و 08 - 5122 ).,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-01806,a0v580000018LoA,Freezone,5121-23,Fish & Meat Wastes Trading,تجارة مخلفات الأسماك واللحوم,Inactive,,Commercial,تجارية,-,High,,Standard,,Waste trading,تجارة المخلفات والنفايات,Industrials,Waste Management,,,"Includes reselling fish crusts and intestines, slaughtered animals and bird’s blood, intestines, and non-edible parts in order to be used commercially or industrially..",يشمل إعادة بيع قشور الأسماك وأمعائها وكذلك أمعاء الحيوانات والطيور المذبوحة ودمائها والأجزاء غير الصالحة منها للاستهلاك وذلك لاستخدامها في الأغراض التجارية أو الصناعية.,,For Warehouse & Land: RAK Waste Management Agency (RAKWMA)
AM-01807,a0v580000018LoB,Freezone,1512-01,Fish & Seafood Canning & Preserving,تعليب الأسماك والأغذية البحرية وحفظها,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Fish canning & freezing,تعليب وتجميد الاسماك,Consumer Staples,Food & Beverages,,,"Includes canning fish and related products , such as roe and caviar, other seafoods, such as prawn, lobster, snails and others , in well sealed cans or preserving by methods of salting, drying or smoking.",يشمل تعليب الأسماك ومنتجاتها كالبطارخ والكافيار، وكذلك الأغذية البحرية مثل الربيان وكركند البحر (اللوبستر) والقواقع وغيرها وذلك في عبوات محكمة الغلق، أو حفظها باستخدام أساليب التمليح أو التجفيف أو التدخين,,"RAK Municipality- Public Health Department, Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01808,a0v580000018LoC,Freezone,1512-02,Fish & Seafood Freezing,تجميد الأسماك والأغذية البحرية,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Fish canning & freezing,تعليب وتجميد الاسماك,Consumer Staples,Food & Beverages,,,Includes freezing fish and sea food and packaging in packs or bags to render them consumable.,يشمل تجهيز الأسماك والأغذية البحرية الصالحة للإستهلاك البشري وتغليفها في عبوات أو أكياس معينة وتجميدها في حالة تصلح معها للإستهلاك.,,"RAK Municipality- Public Health Department, Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01809,a0v580000018LoD,Freezone,1512-03,Fish & Seafood Processing Vessels,تصنيع وتجهيز الأسماك على السفن المتخصصة,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Fish canning & freezing,تعليب وتجميد الاسماك,Consumer Staples,Food & Beverages,,,"Includes vessels and boats equipped for processing, canning and freezing fish and other sea food. Vessels and boats with fishing as well as processing equipment are excluded, as they are classified under Class 0500.",يشمل السفن والقوارب المجهزة بمعدات تجهيز الأسماك والأغذية البحرية وتصنيعها أو تجميدها ولا يدخل من ضمنها السفن والقوارب المجهزة بمعدات الصيد بالإضافة إلى معدات التجهيز حيث صنفت في الفصل 0500,,"RAK Municipality- Public Health Department, Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-06776,a0v5800000dHsCU,Freezone,1040202,Fish and Marine Mammal oils Extraction,استخراج زيوت الأسماك والثدييات البحرية,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Manufacture of vegetable and animal oils and fats,صُنع الزيوت والدهون النباتية والحيوانية,Consumer Staples,Food & Beverages,Canning and freezing fish,تعليب وتجميد الأسماك,,,,"RAK Municipality- Public Health Department, ENVIRONMENT_PROTECTION_&_DEVELOPMENT_AUTHORITY, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-07000,a0v4H00000fYcQw,Non-Freezone,1020001,Fish and Seafood Processing and Preserving,تجهيز وحفظ الأسماك والأغذية البحرية,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Fish trade,تجارة الأسماك,Consumer Staples,Food & Beverages,Canning and freezing fish,تعليب وتجميد الأسماك,"The activity is concerned with the processing and conservation of fish, crustaceans and mollusks in one of the methods of freezing, deep freezing, drying, smoking, salting, immersion in saline solutions, packing, … etc.",النشاط معني بتجهيز وحفظ الأسماك والقشريات والرخويات بإحدى طرق التجميد، التجميد العميق، التجفيف، التدخين، التمليح، الغمر في محاليل ملحية، التعليب إلى آخر هذه الطرق.,,"RAK Municipality- Public Health Department, ENVIRONMENT_PROTECTION_&_DEVELOPMENT_AUTHORITY, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-07001,a0v4H00000fYcQx,Non-Freezone,1020002,Fish and Seafood Products Production,إنتاج منتجات الأسماك والأغذية البحرية,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Fish trade,تجارة الأسماك,Consumer Staples,Food & Beverages,Canning and freezing fish,تعليب وتجميد الأسماك,"The activity is concerned with the production of fish products, crustaceans and mollusks, such as cooked fish, fish fillets, roes, caviar, caviar substitutes etc. and packing them in packages or boxes so that they are suitable for consumption.",النشاط معني بإنتاج منتجات الأسماك والقشريات والرخويات: السمك المطبوخ، شرائح السمك، البطارخ، الكافيار، بدائل الكافيار، إلخ وتعبئتها في عبوات أو علب بحيث تكون صالحة للإستهلاك.,,"RAK Municipality- Public Health Department, ENVIRONMENT_PROTECTION_&_DEVELOPMENT_AUTHORITY, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08852,a0v4K000001BWLU,Non-Freezone,1075002,Fish Dishes Manufacturing,صناعة أطباق السمك,Active,"150,000",Industrial,صناعية,ESR,,,Standard,,Food Industry,صناعة المنتجات الغذائية,,,,,"This activity is concerned with the manufacture of fish meals and dishes, including fried fish and chips, ready for use (ie, prepared, salted, and cooked). These dishes are prepared to keep them in a frozen or packaged form, for example, Meals are not included for immediate consumption, as in restaurants. To be considered dishes that must consist of at least two distinct main elements (other than spices, etc.) dishes that must consist of at least two distinct main elements (other than spices, etc.)",هذا النشاط معني بصناعة وجبات وأطباق السمك، بما في ذلك السمك المقلي وشرائح البطاطس وتكون جاهزة للاستخدام (أي تم إعدادها وتمليحها وطبخها) ويتم تجهيز هذه الأطباق للحفاظ عليها، في شكل مجمَّد أو معلَّب مثلاً، ويتم تغليفها وعنونتها عادة لإعادة بيعها، أي أن هذا الفرع لا يشمل إعداد الوجبات لاستهلاكها فوراً، كما يحدث في المطاعم. ولكي تعتبر هذه الأغذية أطباقاً يتعيَّن أن تتركَّب من عنصرين رئيسيين متميزين على الأقل (خلاف التوابل، إلخ),,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority, RAK Municipality-Public Health Department"
AM-01811,a0v580000018LoF,Freezone,5139-43,Fishing & Hunting Requisites Trading,تجارة أدوات الصيد,Inactive,,Commercial,تجارية,-,Low,,Standard,,Sports equipment trading,تجارة المعدات الرياضيه,Consumer Discretionary,Consumer Discretionary Distribution & Retail,,,"Includes reselling of fishing, nets, threads, hooks and rods, as well as animal hunting rifles, ammunition, nets, traps, bows, arrows and others, beside falcon breeders and training requisites.","هي إعادة بيع الأدوات التي تستخدم في الصيد والقنص سواء أكان إستعمالها للصيد البحري من شباك وخيوط وسنانير وعصي وغيرها, أو لصيد البر من بنادق وذخيرة وشباك وأفخاخ وأقواس وسهام وغيرها بما في ذلك أدوات ولوازم تربية الصقور وتدريبها.",,
AM-05067,a0v580000018Mel,Freezone,289931,Fishing Cages Manufacturing,صناعة القراقير,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Fishing cages & net manufacturing,صناعة القراقير والشباك,Industrials,Machinery & Equipment,,,Includes firms that manuallymake fishing cages either for own use or for sale to others.,يشمل المنشآت التي تعمل في مجال صناعة القراقير (أقفاص صيد السمك) يدوياً سواءً لاستخدامها شخصياً في الصيد أو لإعادة بيعها للغير.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08643,a0v4H00000g5meC,Non-Freezone,4649062,fishing equipment and tools - wholesale,تجارة معدات و ادوات الصيد البحري - بالجملة,Active,,Commercial,تجارية,-,Low,,Standard,,Ship and boat trade,تجارة السفن والقوارب,,,Ship and boat trade,تجارة السفن والقوارب,"Commercial enterprises specialized in wholesale trade of tools used for fishing of nets, twine, hooks, sticks and other instruments used in sea fishing",تشمل المنشآت التجارية المتخصصة في الاتجار بالجملة للأدوات التي تستخدم للصيد البحري من شباك وخيوط وسنانير وعصي وغيرها من الادوات المستخدمة في الصيد البحري.,,
AM-05068,a0v580000018Mem,Freezone,172303,Fishing Net Making,تجهيز شباك الصيد,Active,"150,000",Industrial,صناعية,-,Medium,,Standard,,Fishing cages & net manufacturing,صناعة القراقير والشباك,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,Includes making fishing net from nylon woven in a grid-like structure.,يشمل تجهيز شباك الصيد من خيوط النايلون.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-02590,a0v580000018M0o,Non-Freezone,100514938,Fish Wastes Trading,تجارة مخلفات الأسماك واللحوم,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 4,تجاريــــــــة 4,Industrials,Waste Management,,,,,,"""For Warehouse & Land: RAK Waste Management Agency (RAKWMA)"" NOC from RAK Public Works and Services Department"
AM-01812,a0v580000018LoG,Freezone,5510-01,Five Star Hotel,فندق فئة الخمس نجوم,Active,,Services,خدمية,-,High,,Standard,,Tourism Activites,الانشطة السياحية,Consumer Services,Hospitality,,,"Includes hotels offering upscale accommodations and superior service, in-room media amenities, full service accommodations offer diverse on-site eateries ranging from fine dining to casual dining and 24-hour room service, guests access to concierge services, an on-site fitness facility and on-site pool, golf and water sports.",يشمل نوعية الفنادق التي توفر الخدمات والمرافق والتسهيلات المتميزة مثل الغرف المجهزة بوسائل الترفيه، خدمة الغرف وتقديم الأطعمة على مدى 24 ساعة، خدمات البواب عند مدخل الفندق، مركز للياقة البدنية وحمام سباحة و تسهيلات ممارسة لعبة الغولف والرياضات المائية.,,Tourism Development Authority
AM-08860,a0v4K000001BWM3,Non-Freezone,1622009,Fixed Wooden Partitions Manufacturing,صناعة الفواصل الخشبية المثبتة,Active,"150,000",Industrial,صناعية,ESR,,,Standard,,Painting and Decoration,الأصباغ والديكور,,,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01932,a0v580000018LqC,Non-Freezone,7310009,Fixing Boards along Internal and External Roads,تثبيت اللوحات علي الطرق الداخلية والخارجية,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,Industrials,Construction & Engineering,,,,,,
AM-05779,a0v580000018MqF,Freezone,513106,Flags & Flagpoles Trading,تجارة الاعلام والسواري,Active,,Commercial,تجارية,-,Medium,,Standard,,Ready made garments qroup,مجموعة الملابس الجاهزة,Consumer Discretionary,Consumer Discretionary Distribution & Retail,,,"Includes reselling flags fabrics, paper, plastic or vinyl , also, flagpoles made from steel, aluminum, glass fiber and wood, it includes other accessories related to flags and flagpoles such as rope assemblies, pulleys, winches, finials, anchor bolts, counterweights, etc","يشمل إعادة بيع الأعلام المصنوعة من الأقمشة, الورق, البلاستيك أو الفينيل, كما يشمل ذلك السواري سواء أكانت مصنوعة من الحديد, الألمنيوم, الأخشاب أوالفيبرجلاس, ويدخل في هذا النشاط بيع لوازمها من البكرات, الرافعات, الزخارف, مسامير التثبيت وغيرها.",,
AM-05070,a0v580000018Meo,Freezone,172107,Flags Manufacturing,صناعة الاعلام,Active,"150,000",Industrial,صناعية,-,Medium,,Standard,,Textiles & products manufacturing,صناعة النسيج ومنتجاتها,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,Includes the manufacture of formal and informal flags and banners with different sizes for different purposes by means of cutting and weaving or by color printing or others. It also includes the manufacture of logos and badges as well as ceremonial banners which are hung at celebrations and similar occasions. This also includes the manufacture of flags woven from natural or artificial fibers or from plastic and the like.,يشمل صناعة الأعلام والرايات الرسمية وغير الرسمية باختلاف أحجامها وأغراضها بطريقة القص والحياكة، أو بطريقة طباعة الألوان أو غير ذلك، كما يشمل صناعة الشعارات والشارات، وكذلك أعلام الزينة التي تعلق في الاحتفالات والمناسبات، كما يشمل ذلك صناعة هذه الأعلام من الأقمشة المنسوجة من الألياف الطببيعية أو غيرها من المنسوجات الاصطناعية أو البلاستيك وما اليها.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08903,a0v4K000001BWP2,Non-Freezone,2740009,Flashlights Manufacturing,صناعة مصابيح الومضية,Active,"150,000",Industrial,صناعية,ESR,,,Standard,,Manufacture of lighting equipment,صناعة معدات الإضاءة,,,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08440,a0v4H00000g5mav,Non-Freezone,2310018,Flat Glass Manufacturing -Floatation,صناعة الزجاج المسطح - بالتعويم,Active,,Industrial,صناعية,-,Low,,Standard,,Glass and glass products industry,صناعة الزجاج ومنتجاته,Materials,Construction Materials,,,"Float glass is a sheet of glass made by floating molten glass on a bed of molten metal, typically tin. This method gives the sheet uniform thickness and very flat surfaces",تشمل المنشأت الصناعية ( المصانع أو الورش الحرفية ) التي تقوم بانتاج الزجاج المسطح أو المعوَم عبارة عن لوح من زجاج مصنوع من زجاج عائم منصهر علي طبقة من معدن منصهر عادة يكون القصدير. هذه الطريقة تمنح اللوح سماكة منتظمة وأسطح مستوية جداً.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01813,a0v580000018LoH,Freezone,1549-11,Flavours & Fragrances Manufacturing,صناعة المنكهات ومكسبات الطعم والرائحة,Active,"150,000",Industrial,صناعية,-,Medium,,Standard,,Food industries,الصناعات الغذائية,Consumer Staples,Food & Beverages,,,"Includes the manufacture of flavors and fruit extracts used in processing foodstuff, and also the fragrances used in manufacturing aromatics and cleaning products.",يشمل صناعة المواد والمنكهات ومكسبات الطعم وخلاصات الفواكه التي تستخدم في صناعة المنتجات الغذائية كما يشمل صناعة مكسبات الرائحة التي تستخدم في صناعة المواد العطرية والمنظفات.,,"RAK Municipality- Public Health Department, Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-05780,a0v580000018MqG,Freezone,512231,Flavours & Fragrances Trading,تجارة المنكهات ومكسبات الطعم,Active,,Commercial,تجارية,-,Medium,,Standard,,Foodstuff trading,تجاره المواد الغذائيه,Consumer Staples,Consumer Staples Distribution & Retail,,,"Includes reselling flavors and fruit extracts used in processing foodstuff, also fragrances used in manufacturing aromatics and cleaning products.",يشمل إعادة بيع المواد والمنكهات ومكسبات الطعم وخلاصات الفواكه التي تستخدم في صناعة المنتجات الغذائية، كما يشمل صناعة مكسبات الرائحة التي تستخدم في صناعة المواد العطرية والمنظفات,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-01814,a0v580000018LoI,Freezone,5510-07,Floating Hotel,فندق عائم,Active,,Services,خدمية,-,High,,Standard,,Tourism Activites,الانشطة السياحية,Consumer Services,Hospitality,Tourist activities,الأنشطة السياحية,"Includes residence services provided on board ships or vessels equipped with the necessary requisites for residents, beside temporary short-term residence on board, such ships provide the usual hotel services.",يشمل تقديم خدمات الإقامة على السفن أو البواخر التي يتم تجهيزها بالمتطلبات الضرورية والمناسبة لإستقبال النزلاء وتقديم خدمات الإقامة عليها لمدد قصيرة بالإضافة إلى تقديم الخدمات الفندقية المألوفة الأخرى.,,Tourism Development Authority
AM-02141,a0v580000018LtZ,Freezone,5520-12,Floating Restaurant,مطعم عائم,Active,,Commercial,تجارية,-,Medium,,Standard,,Tourism Activites,الانشطة السياحية,Consumer Services,Hospitality,Tourist activities,الأنشطة السياحية,"Includes ships, boats or yachts suitably equipped for dining on board, including serving the food and beverages while the ship is anchoring or on entertainment cruise.","يشمل السفن أو القوارب أو اليخوت المزودة بالتجهيزات المناسبة لتناول الوجبات الغذائية على متنها, ويشمل ذلك خدمات إعداد الوجبات الغذائية وأنواع الشراب وتقديمها للإستهلاك الفوري من قبل الجمهور سواء أكانت هذه المطاعم تقدم خدماتها في موقع ثابت أو أثناء القيام برحلات ترفيهية في البحر.",,RAK Municipality- Public Health Department
AM-01209,a0v580000018LeX,Non-Freezone,4330019,Floor & Wall Tiling Works,أعمال تبليط الأرضيات والجدران,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,Industrials,Construction & Engineering,,,,,,
AM-09211,a0v8e000000kwWs,Freezone,4330019,Floor & Wall Tiling Works,أعمال تبليط الأرضيات والجدران,Active,,Services,خدمية,-,,,Standard,,Building contracting,مقاولات البناء,Industrials,Construction & Engineering,,,"Includes specialized enterprises in the plating on the external and internal walls of the buildings, commercial, industrial and engineering installations and residential houses and installation of natural geotextiles marbles and granite and other natural stones or synthetic materials like Tiles Ceramics include flooring work types of Al-fakhary cement or tiles or made from natural stones, as well as installing the tiles on the walls and the walls. . This section does not include the work of the interlocking tiles and pavements","يشمل المنشآت المتخصصة في أعمال تكسية الحوائط الخارجية والداخلية للأبنية التجارية والصناعية والمنشآت الهندسية والدور السكنية وتركيب مواد التكسية الطبيعية كالرخام والجرانيت والأحجار الطبيعية الأخرى أو بالمواد الإصطناعية مثل البلاط والسيراميك يشمل أعمال تركيب الأرضيات من أنواع البلاط الفخاري أو الأسمنتي أو المصنوع من الأحجار الطبيعية, وكذلك تركيب البلاط علي الحوائط والجدران. . ولايشمل هذا الفرع أعمال البلاط والأرصفة المتشابكة",,
AM-07333,a0v4H00000fYcWJ,Non-Freezone,2511016,Floor Attachment Metal Room Partitions Manufacturing,صناعة فواصل معدنية للغرف مثبتة في الأرض,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Metal construction industry,صناعة الإنشاءات المعدنية,Industrials,Building Products,Metal construction industry,صناعة الإنشاءات المعدنية,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08644,a0v4H00000g5meD,Non-Freezone,9524006,Floor Covering,تركيب مفروشات الارضيات,Active,,Professional,مهنية,-,Low,,Standard,,Cotton tease and upholstery,ندف القطن والتنجيد,,,Cotton tease and upholstery,ندف القطن والتنجيد,Is an entity that is installing rugs of all kinds and flooring manufacturer of industrial textiles and rubber or any kind of ground furnishings that do not require technical that are used in homes or public entity and is not entitled to sell. Also not entitled to the facility or installation of ceramic or marble,هي المنشاة التى تقوم  بتركيب الموكيت بجميع انواعه و الارضيات المصنعه من المنسوجات الصناعية او المطاطيه  و اي نوع من المفروشات الارضية  التى لا تحتاج الى فني و التى يتم استخدامها فى المنازل او المنشاة العامة و لايحق لمن يمارس هذا النشاط البيع .كما لا يحق للمنشاة تركيب السراميك او الرخام او الخشب حيث انه يندرج تحت باب 43 المقاولات,,
AM-05073,a0v580000018Mer,Freezone,251903,Flooring Materials & Mats Manufacturing,صناعة الارضيات والدواسات,Active,"150,000",Industrial,صناعية,-,High,,Standard,,Manufacture of tyres and rubber products,صناعة الاطارات ومنتجات المطاط,Consumer Discretionary,Household Durables,,,"Includes manufacturing hardened rubber for flooring workshops, factories, hospitals and other buildings, also, for covering swimming pool edges, vehicles and boats bottons, gardens and sport tracks, in addition of rubber mats for houses and entrances.",يشمل صناعة الأغطية المطاطية والمقواة والمستخدمة لتغطية الأرضيات كأرضيات الورش والمصانع والمستشفيات وغيرها من الأبنية ذات الاستخدامات المختلفة، كما يشمل صناعة أغطية أسطح جوانب أحواض السباحة وأسطح المركبات والقوارب وأرضيات الحدائق ومضامير الملاعب، كما يشمل هذا النشاط صناعة الدواسات (الحصيرات) المطاطية للمنازل أو المداخل.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01816,a0v580000018LoK,Freezone,1531-02,Flour Mills,خلط وتهيئة الدقيق,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Foodstuff mills and packaging,طحن وتعبئة المواد الغذائية,Consumer Staples,Food & Beverages,,,"Includes blending wheat flour and prepare to produce various semi-final products, usable in processing final food products.",يشمل خلط دقيق القمح وتهيئته لإنتاج أنواع وأصناف مختلفة من المنتجات لإستخدامها في إنتاج المواد الغذائية أو إعداد الأطعمة.,,"RAK Municipality- Public Health Department, Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08513,a0v4H00000g5mc6,Non-Freezone,1061011,Flour Products’ Prepared Mixes and Doughs Manufacturing,صناعة الخلطات والعجائن المجهزة لمنتجات الدقيق,Active,,Industrial,صناعية,-,,,Standard,,Grinding and packing food,طحن وتعبئة المواد الغذائية,Consumer Staples,Food & Beverages,Grinding and packing food,طحن وتعبئة المواد الغذائية,"Manufacture of flour mixes and prepared, blended flour and dough for bread, cakes, biscuits or pancakes (all its kinds)",صُنع خلائط الدقيق والعجين المجهَّز والمخلوط لإنتاج الخبز أو الكعك أو البسكويت أو الفطائر المحلاة (بانواعها),,"Environment Protection & Development Authority, Department of Civil Defense, RAK Municipality-Public Health Department, CCTV Certificate from General Resources Authority"
AM-06587,a0v58000002w78u,Freezone,1061011,Flour Products’ Prepared Mixes and Doughs Manufacturing,صناعة الخلطات والعجائن المجهزة لمنتجات الدقيق,Active,"150,000",Industrial,صناعية,-,,,Standard,,Industrial,صناعية,Consumer Staples,Food & Beverages,,,"Manufacture of flour mixes and prepared, blended flour and dough for bread, cakes, biscuits or pancakes (all its kinds)",صُنع خلائط الدقيق والعجين المجهَّز والمخلوط لإنتاج الخبز أو الكعك أو البسكويت أو الفطائر المحلاة (بانواعها),,"RAK Municipality- Public Health Department, Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01817,a0v580000018LoL,Freezone,5122-19,Flour Trading,تجارة الدقيق,Active,,Commercial,تجارية,-,Low,,Standard,,Foodstuff trading,تجاره المواد الغذائيه,Consumer Staples,Consumer Staples Distribution & Retail,,,"Includes reselling brown and white flour for making bread, pies, biscuit, cakes, pastries…etc.",يشمل بيع جميع أنواع الدقيق الأسمر و الأبيض والتي تستخدم في صناعة الخبز و تجهيز الفطائر وأنواع البسكويت والكيك والمعجنات وغيرها.,,For Warehouse & Land: RAK Municipality- Public Health Department
